,train_loss,train_acc,train_recall,train_fpr,val_loss,val_acc,val_recall,val_fpr
0,1.6471604108810425,0.3000000119209289,0,0,1.5962755680084229,0.2000000029802322,0.3333333432674408,0.6666666865348816
1,1.6440709829330444,0.2750000059604645,0,0,1.4010330438613892,0.4000000059604645,0.3333333432674408,0.6000000238418579
2,1.3371098041534424,0.3499999940395355,0,0,1.4065349102020264,0.4000000059604645,0.3333333432674408,0.75
3,1.2241071462631226,0.5,0,0,1.296244502067566,0.2000000029802322,0.3333333432674408,0.699999988079071
4,1.7921104431152344,0.2250000089406967,0,0,1.9030948877334597,0.3000000119209289,0.3333333432674408,0.6666666865348816
5,1.5701587200164795,0.3499999940395355,0,0,1.5357666015625,0.4000000059604645,0.3571428656578064,0.6153846383094788
6,1.2744852304458618,0.4500000178813934,0,0,1.363848090171814,0.3000000119209289,0.3529411852359772,0.6000000238418579
7,1.547783374786377,0.3499999940395355,0,0,1.283084273338318,0.3000000119209289,0.3499999940395355,0.6111111044883728
8,1.3637259006500244,0.375,0,0,1.6795753240585327,0.4000000059604645,0.3913043439388275,0.6000000238418579
9,1.3001561164855957,0.3250000178813934,0,0,1.5572761297225952,0.4000000059604645,0.4444444477558136,0.6000000238418579
